AA-Triplet, Bin1, Bin2, Bin3, Bin4, Bin5, Bin6, Bin7, Bin8, Bin9, Bin10, Bin11, Bin12, Bin13, Bin14, Bin15, Bin16, Bin17, Bin18, Bin19, Bin20, Bin21, Bin22, Bin23, Bin24, Bin25, Bin26, Bin27, Bin28, Bin29, Bin30, Bin31, Bin32, Bin33, Bin34, Bin35, Bin36, Bin37, Bin38, Bin39, Bin40
5602, -1.95774, -1.89712, -2.12026, -1.13943, -0.996333, -0.510825, -1.42712, -0.377294, -0.733969, -0.628609, 1.56862, 0.875469, 15.3841, 15.3841, 15.3841, 1.56862, 15.3841, 15.3841, 15.3841, 15.3841, 15.3841, 15.3841, 15.3841, 15.3841, 15.3841, 15.3841, 15.3841, 15.3841, 15.3841, 15.3841, 15.3841, 15.3841, 15.3841, 15.3841, 15.3841, 15.3841, 15.3841, 15.3841, 15.3841, 15.3841
5603, -1.77056, -1.86153, -1.36509, -1.72177, -1.5294, -0.866101, -1.12393, -0.517794, -0.866101, -0.112329, 0.175353, 0.175353, 0.580818, 0.357675, 15.7826, 15.7826, 15.7826, 15.7826, 15.7826, 15.7826, 15.7826, 15.7826, 15.7826, 15.7826, 15.7826, 15.7826, 15.7826, 15.7826, 15.7826, 15.7826, 15.7826, 15.7826, 15.7826, 15.7826, 15.7826, 15.7826, 15.7826, 15.7826, 15.7826, 15.7826
5604, -1.84569, -1.53553, -1.98545, -1.64316, -1.24785, -0.970219, -1.30669, -1.11864, -0.23625, 1.15004, -0.23625, 2.24866, 1.55551, 2.24866, 0.862362, 16.0642, 16.0642, 16.0642, 16.0642, 16.0642, 16.0642, 16.0642, 16.0642, 16.0642, 16.0642, 16.0642, 16.0642, 16.0642, 16.0642, 16.0642, 16.0642, 16.0642, 16.0642, 16.0642, 16.0642, 16.0642, 16.0642, 16.0642, 16.0642, 16.0642
5605, -2.10647, -1.88333, -1.47786, -1.701, -1.59564, -1.59564, -0.0915668, 0.60158, -0.497032, 0.60158, -0.497032, 14.4171, 14.4171, 14.4171, 14.4171, 14.4171, 14.4171, 14.4171, 14.4171, 14.4171, 14.4171, 14.4171, 14.4171, 14.4171, 14.4171, 14.4171, 14.4171, 14.4171, 14.4171, 14.4171, 14.4171, 14.4171, 14.4171, 14.4171, 14.4171, 14.4171, 14.4171, 14.4171, 14.4171, 14.4171
5606, -1.37918, -1.37918, -1.54348, -2.53561, -1.89712, -1.44817, 0.00711757, -0.244197, 0.854415, 0.161268, 1.95303, 1.95303, 15.7685, 15.7685, 15.7685, 15.7685, 15.7685, 15.7685, 15.7685, 15.7685, 15.7685, 15.7685, 15.7685, 15.7685, 15.7685, 15.7685, 15.7685, 15.7685, 15.7685, 15.7685, 15.7685, 15.7685, 15.7685, 15.7685, 15.7685, 15.7685, 15.7685, 15.7685, 15.7685, 15.7685
5607, -2.10436, -2.28669, -1.75862, -1.42649, -1.29727, -1.02102, -0.232563, -0.327873, -0.00941914, 0.460584, 2.07002, 2.07002, 0.97141, 0.683728, 2.07002, 15.8855, 15.8855, 15.8855, 15.8855, 15.8855, 15.8855, 15.8855, 15.8855, 15.8855, 15.8855, 15.8855, 15.8855, 15.8855, 15.8855, 15.8855, 15.8855, 15.8855, 15.8855, 15.8855, 15.8855, 15.8855, 15.8855, 15.8855, 15.8855, 15.8855
5608, -1.54962, -1.95964, -1.9226, -1.47867, -1.54962, -1.50766, -1.2104, -0.394654, -0.149532, 1.1314, 1.1314, 0.949081, 1.35455, 1.1314, 2.04769, 16.5564, 16.5564, 16.5564, 16.5564, 16.5564, 16.5564, 16.5564, 16.5564, 16.5564, 16.5564, 16.5564, 16.5564, 16.5564, 16.5564, 16.5564, 16.5564, 16.5564, 16.5564, 16.5564, 16.5564, 16.5564, 16.5564, 16.5564, 16.5564, 16.5564
5609, -1.82674, -1.53906, -2.27303, -1.7622, -1.6191, -1.35674, -0.152762, 0.94585, 0.94585, -0.663588, 14.7614, 0.94585, 14.7614, 14.7614, 14.7614, 0.94585, 14.7614, 14.7614, 14.7614, 14.7614, 14.7614, 14.7614, 14.7614, 14.7614, 14.7614, 14.7614, 14.7614, 14.7614, 14.7614, 14.7614, 14.7614, 14.7614, 14.7614, 14.7614, 14.7614, 14.7614, 14.7614, 14.7614, 14.7614, 14.7614
5610, -2.58635, -1.85727, -1.13943, -1.32176, -1.92789, -0.851752, 0.470004, -0.223143, 0.24686, 0.757686, 0.757686, 1.16315, 1.16315, 15.6718, 15.6718, 15.6718, 15.6718, 15.6718, 15.6718, 15.6718, 15.6718, 15.6718, 15.6718, 15.6718, 15.6718, 15.6718, 15.6718, 15.6718, 15.6718, 15.6718, 15.6718, 15.6718, 15.6718, 15.6718, 15.6718, 15.6718, 15.6718, 15.6718, 15.6718, 15.6718
5611, -2.07541, -2.30057, -1.72878, -1.59116, -1.14385, -1.11788, -0.252878, -0.119347, 0.217126, 0.121815, 0.910273, 0.5738, 16.3352, 2.51971, 2.51971, 2.51971, 16.3352, 16.3352, 16.3352, 16.3352, 16.3352, 16.3352, 16.3352, 16.3352, 16.3352, 16.3352, 16.3352, 16.3352, 16.3352, 16.3352, 16.3352, 16.3352, 16.3352, 16.3352, 16.3352, 16.3352, 16.3352, 16.3352, 16.3352, 16.3352
